Time [s]	Amp[A]
8.150006  0.69
8.150507  0.64
8.151008  0.73
8.151509  0.75
8.152010  0.87
8.152511  0.69
8.153012  0.59
8.153513  0.70
8.154014  0.72
8.154515  0.72
8.155016  0.72
8.155517  0.72
8.156019  0.73
8.156520  0.50
8.157020  0.73
8.157521  0.63
8.158022  0.72
8.158524  0.56
8.159025  0.73
8.159525  0.56
8.160026  0.66
8.160528  0.61
8.161028  0.67
8.161530  0.69
8.162030  0.67
8.162532  0.67
8.163032  0.75
8.163534  0.57
8.164034  0.63
8.164535  0.75
8.165036  0.64
8.165537  0.61
8.166039  0.69
8.166540  0.64
8.167041  0.63
8.167542  0.59
8.168043  0.64
8.168544  0.76
8.169045  0.73
8.169546  0.64
8.170047  0.69
8.170549  0.81
8.171049  0.66
8.171551  0.63
8.172051  0.57
8.172552  0.69
8.173053  0.57
8.173554  0.61
8.174056  0.75
8.174556  0.70
8.175058  0.66
8.175559  0.75
8.176060  0.67
8.176561  0.69
8.177062  0.75
8.177562  0.73
8.178063  0.69
8.178564  0.64
8.179065  0.78
8.179566  0.73
8.180067  0.56
8.180568  0.70
8.181069  0.67
8.181570  0.63
8.182072  0.70
8.182572  0.64
8.183074  0.78
8.183575  0.72
8.184076  0.64
8.184577  0.54
8.185078  0.75
8.185580  0.56
8.186080  0.67
8.186581  0.57
8.187083  0.69
8.187584  0.69
8.188084  0.69
8.188585  0.63
8.189087  0.56
8.189587  0.70
8.190088  0.78
8.190589  0.76
8.191090  0.67
8.191592  0.61
8.192094  0.66
8.192595  0.67
8.193097  0.80
8.193597  0.75
8.194099  0.69
8.194599  0.67
8.195100  0.72
8.195601  0.57
8.196103  0.67
8.196605  0.73
8.197106  0.61
8.197607  0.67
8.198108  0.75
8.198608  0.61
8.199109  0.75
8.199610  0.70
8.200112  0.72
8.200612  0.69
8.201114  0.61
8.201615  0.78
8.202115  0.70
8.202616  0.66
8.203117  0.63
8.203618  0.67
8.204119  0.67
8.204620  0.67
8.205121  0.69
8.205622  0.73
8.206123  0.64
8.206625  0.75
8.207127  0.75
8.207628  0.69
8.208130  0.56
8.208630  0.76
8.209132  0.76
8.209633  0.69
8.210133  0.72
8.210634  0.63
8.211136  0.64
8.211637  0.54
8.212137  0.51
8.212639  0.72
